Date,season,HomeTeam,AwayTeam,FTHG,FTAG,xHG,xAG,pH,pD,pA
2015-02-28 14:30:00,2014,Hertha Berlin,Augsburg,1,0,1.26944,0.663246,0.5368,0.2942,0.169
2015-02-28 17:30:00,2014,Eintracht Frankfurt,Hamburger SV,2,1,2.21323,1.43145,0.5852,0.2424,0.1724
2015-03-01 14:30:00,2014,Borussia M.Gladbach,Paderborn,2,0,1.43897,0.746314,0.5541,0.2764,0.1695
2015-03-01 16:30:00,2014,Werder Bremen,Wolfsburg,3,5,1.44281,2.5513,0.1394,0.2043,0.6563
2015-03-06 19:30:00,2014,VfB Stuttgart,Hertha Berlin,0,0,1.07906,0.682492,0.4522,0.3507,0.1971
2015-03-07 14:30:00,2014,Hamburger SV,Borussia Dortmund,0,0,0.735406,0.505015,0.4105,0.3924,0.1971
2015-03-07 14:30:00,2014,Augsburg,Wolfsburg,1,0,1.44291,0.390951,0.7607,0.1923,0.047
2015-03-07 14:30:00,2014,Hannover 96,Bayern Munich,1,3,0.205925,1.33559,0.0327,0.1968,0.7705
2015-03-07 14:30:00,2014,Freiburg,Werder Bremen,0,1,0.430875,0.649704,0.2014,0.4522,0.3464
2015-03-07 14:30:00,2014,Schalke 04,Hoffenheim,3,1,2.12473,1.9462,0.4234,0.2448,0.3318
2015-03-07 17:30:00,2014,Mainz 05,Borussia M.Gladbach,2,2,1.21471,1.44907,0.2764,0.2876,0.436
2015-03-08 14:30:00,2014,FC Cologne,Eintracht Frankfurt,4,2,1.74567,1.89213,0.299,0.2964,0.4046
2015-03-08 16:30:00,2014,Paderborn,Bayer Leverkusen,0,3,0.755297,1.17926,0.2109,0.3084,0.4807
2015-03-13 19:30:00,2014,Bayer Leverkusen,VfB Stuttgart,4,0,1.59835,1.03528,0.5154,0.2686,0.216
2015-03-14 14:30:00,2014,Augsburg,Mainz 05,0,2,0.94984,1.62842,0.1924,0.2637,0.5439
